# wavelength    value 
#  [um]         [flux]
1.000000000000000000e+00 1.126269459724426270e+00
1.023293018341064453e+00 1.125931143760681152e+00
1.047128438949584961e+00 1.094448924064636230e+00
1.071519255638122559e+00 1.043818235397338867e+00
1.096478104591369629e+00 9.980327486991882324e-01
1.122018337249755859e+00 9.558199048042297363e-01
1.148153424263000488e+00 9.332427978515625000e-01
1.174897670745849609e+00 8.936234712600708008e-01
1.202264547348022461e+00 8.556330204010009766e-01
1.230268836021423340e+00 8.368616104125976562e-01
1.258925318717956543e+00 8.044269680976867676e-01
1.288249611854553223e+00 7.760774493217468262e-01
1.318256735801696777e+00 7.478219866752624512e-01
1.348962903022766113e+00 7.138770222663879395e-01
1.380384087562561035e+00 6.992617249488830566e-01
1.412537455558776855e+00 6.348572373390197754e-01
1.445439577102661133e+00 6.317605972290039062e-01
1.479108214378356934e+00 6.118568778038024902e-01
1.513561010360717773e+00 6.276732087135314941e-01
1.548816800117492676e+00 6.269490122795104980e-01
1.584893345832824707e+00 5.903282165527343750e-01
1.621810078620910645e+00 5.967048406600952148e-01
1.659587025642395020e+00 5.938485860824584961e-01
1.698243737220764160e+00 5.727844238281250000e-01
1.737800717353820801e+00 5.282298326492309570e-01
1.778279423713684082e+00 4.831160604953765869e-01
1.819700717926025391e+00 4.572739303112030029e-01
1.862086892127990723e+00 4.243625998497009277e-01
1.905460476875305176e+00 4.015172719955444336e-01
1.949844479560852051e+00 3.708965480327606201e-01
1.995262026786804199e+00 3.446750938892364502e-01
2.041737556457519531e+00 3.280728161334991455e-01
2.089296340942382812e+00 3.123006224632263184e-01
2.137962341308593750e+00 2.993117868900299072e-01
2.187761545181274414e+00 2.825647890567779541e-01
2.238721132278442383e+00 2.656206488609313965e-01
2.290867805480957031e+00 2.288698554039001465e-01
2.344228744506835938e+00 2.026491761207580566e-01
2.398832798004150391e+00 1.829792559146881104e-01
2.454708814620971680e+00 1.590621173381805420e-01
2.511886358261108398e+00 1.316554099321365356e-01
2.570395469665527344e+00 1.337314993143081665e-01
2.630267620086669922e+00 1.306179612874984741e-01
2.691534519195556641e+00 1.260404735803604126e-01
2.754229068756103516e+00 1.210040077567100525e-01
2.818383216857910156e+00 1.156647801399230957e-01
2.884031772613525391e+00 1.102830097079277039e-01
2.951209306716918945e+00 1.048472672700881958e-01
3.019951581954956055e+00 1.009114831686019897e-01
3.090295314788818359e+00 9.828288853168487549e-02
3.162277698516845703e+00 9.560403972864151001e-02
3.235936164855957031e+00 9.333696961402893066e-02
3.311310768127441406e+00 9.078773856163024902e-02
3.388441324234008789e+00 8.829604089260101318e-02
3.467367887496948242e+00 8.578111231327056885e-02
3.548133611679077148e+00 8.275447040796279907e-02
3.630779981613159180e+00 8.006159961223602295e-02
3.715352535247802734e+00 7.716248184442520142e-02
3.801894426345825195e+00 7.481291145086288452e-02
3.890451431274414062e+00 7.271776348352432251e-02
3.981071710586547852e+00 7.073333859443664551e-02
4.073802947998046875e+00 6.925287097692489624e-02
4.168694019317626953e+00 6.802699714899063110e-02
4.265795230865478516e+00 6.700558960437774658e-02
4.365158081054687500e+00 6.393255293369293213e-02
4.466835498809814453e+00 6.268364936113357544e-02
4.570881366729736328e+00 6.223598867654800415e-02
4.677350997924804688e+00 6.223164871335029602e-02
4.786299705505371094e+00 6.227692961692810059e-02
4.897789001464843750e+00 6.209253892302513123e-02
